Code,Error,zh-cn,en-us
30814,EnvCannotArchiveActive,环境当前状态活跃, 无法归档
31300,InvalidTfVersion,自动选择版本失败,invalid terraform version
31210,PolicyAlreadyExist,策略已存在,policy already exist
31211,PolicyNotExist,策略不存在,policy does not exist
31221,PolicyGroupAlreadyExist,策略组已存在,policy group already exist
31222,PolicyGroupNotExist,策略组不存在,policy group does not exist
31223,PolicyBelongedToAnotherGroup,策略属于其他策略组,policy belonged to another group
31230,PolicyResultAlreadyExist,结果已存在,policy result already exist
31231,PolicyResultNotExist,结果不存在,policy result does not exist
31250,PolicyErrorParseTemplate,模板解析错误,template parse error
31340,PolicyRegoMissingComment,Rego脚本头缺失,missing comment header in rego file
31260,PolicySuppressNotExist,屏蔽记录不存在,suppress status does not exist
31261,PolicySuppressAlreadyExist,屏蔽记录已存在,suppress status already exist
31270,PolicyRelNotExist,策略关联关系不存在,policy relation does not exist
31271,PolicyRelAlreadyExist,策略关联关系已存在,policy relation already exist
31280,PolicyScanNotEnabled,扫描未启用,policy scan is not enabled
31500,CronExpressError,cron定时任务表达式错误,invalid cron expression
31501,CronTaskFailed,cron定时任务执行失败,cron task failed
31281,PolicyMetaInvalid,策略元数据解析无效,invalid meta json definition
31282,PolicyRegoInvalid,rego 脚本解析无效,invalid rego file
31610,SystemConfigNotExist,当前配置不存在,system config does not exist
30731,TemplateKeyIdNotSet,SSH 密钥未配置,ssh keypair is not setup 
31283,PolicyGroupDirError,仓库在当前目录找不到策略文件,policy not found in the repository
31710,LdapConnectFailed,ldap 服务器连接 失败,ldap servers connect failed
31413,InvalidVarGroup,无效资源账号,invalid resource account
31414,VariableGroupPermDeny,无权限的资源账号,resource account permission deny
30823,TemplateNotBind,云模板未绑定当前项目,template is not bound to the project
